vaccine,target_organism,iso3_country,introduction_year,life_expectancy_pre_window_mean,life_expectancy_post_window_mean,life_expectancy_change_post_minus_pre,resistance_rate_pre_window_mean,resistance_rate_post_window_mean,resistance_rate_change_post_minus_pre,n_amr_years_pre_window,n_amr_years_post_window,resistance_window_status,pre_window_years,post_window_years,estimation_method,version,date_added
PCV,Streptococcus pneumoniae,ISR,2009,80.72804878048782,81.97154471544717,1.2434959349593413,,,,0,0,no_amr_surveillance_in_either_window,2007 to 2008,2012 to 2014,descriptive_before_after_not_causal_did,v1,2026-07-08
PCV,Streptococcus pneumoniae,ITA,2005,80.3817073170732,81.71951219512196,1.3378048780487717,,,,0,0,no_amr_surveillance_in_either_window,2003 to 2004,2008 to 2010,descriptive_before_after_not_causal_did,v1,2026-07-08
PCV,Streptococcus pneumoniae,JPN,2011,82.88707317073171,83.7888617886179,0.9017886178861829,,,,0,0,no_amr_surveillance_in_either_window,2009 to 2010,2014 to 2016,descriptive_before_after_not_causal_did,v1,2026-07-08
PCV,Streptococcus pneumoniae,KEN,2011,60.699,62.26500000000001,1.5660000000000096,,,,0,1,no_amr_surveillance_in_pre_window,2009 to 2010,2014 to 2016,descriptive_before_after_not_causal_did,v1,2026-07-08
PCV,Streptococcus pneumoniae,KHM,2015,68.936,70.05966666666667,1.123666666666665,,,,0,0,no_amr_surveillance_in_either_window,2013 to 2014,2018 to 2020,descriptive_before_after_not_causal_did,v1,2026-07-08
PCV,Streptococcus pneumoniae,KOR,2014,81.04512195121951,82.82682926829268,1.7817073170731703,,,,0,0,no_amr_surveillance_in_either_window,2012 to 2013,2017 to 2019,descriptive_before_after_not_causal_did,v1,2026-07-08
PCV,Streptococcus pneumoniae,KWT,2007,76.84423170731708,78.05782926829268,1.2135975609756002,,,,0,0,no_amr_surveillance_in_either_window,2005 to 2006,2010 to 2012,descriptive_before_after_not_causal_did,v1,2026-07-08
PCV,Streptococcus pneumoniae,LBN,2015,78.0925,77.59,-0.5024999999999977,,,,0,0,no_amr_surveillance_in_either_window,2013 to 2014,2018 to 2020,descriptive_before_after_not_causal_did,v1,2026-07-08
PCV,Streptococcus pneumoniae,MAR,2010,70.2525,72.51100000000001,2.258500000000012,,,,0,0,no_amr_surveillance_in_either_window,2008 to 2009,2013 to 2015,descriptive_before_after_not_causal_did,v1,2026-07-08
PCV,Streptococcus pneumoniae,MEX,2008,73.771,74.11266666666667,0.34166666666666856,,,,0,0,no_amr_surveillance_in_either_window,2006 to 2007,2011 to 2013,descriptive_before_after_not_causal_did,v1,2026-07-08
PCV,Streptococcus pneumoniae,NGA,2015,51.8835,52.916666666666664,1.0331666666666663,,,,0,0,no_amr_surveillance_in_either_window,2013 to 2014,2018 to 2020,descriptive_before_after_not_causal_did,v1,2026-07-08
PCV,Streptococcus pneumoniae,NZL,2008,80.10000000000001,81.32276422764228,1.2227642276422728,,,,0,0,no_amr_surveillance_in_either_window,2006 to 2007,2011 to 2013,descriptive_before_after_not_causal_did,v1,2026-07-08
PCV,Streptococcus pneumoniae,PAK,2012,64.5185,65.93566666666668,1.4171666666666738,,,,0,2,no_amr_surveillance_in_pre_window,2010 to 2011,2015 to 2017,descriptive_before_after_not_causal_did,v1,2026-07-08
PCV,Streptococcus pneumoniae,PAN,2010,76.0825,77.359,1.2764999999999986,,,,0,0,no_amr_surveillance_in_either_window,2008 to 2009,2013 to 2015,descriptive_before_after_not_causal_did,v1,2026-07-08
PCV,Streptococcus pneumoniae,PHL,2013,69.1665,69.73899999999999,0.5724999999999909,,,,0,2,no_amr_surveillance_in_pre_window,2011 to 2012,2016 to 2018,descriptive_before_after_not_causal_did,v1,2026-07-08
PCV,Streptococcus pneumoniae,PRT,2015,80.92195121951221,81.4430894308943,0.5211382113820946,,,,0,0,no_amr_surveillance_in_either_window,2013 to 2014,2018 to 2020,descriptive_before_after_not_causal_did,v1,2026-07-08
PCV,Streptococcus pneumoniae,ROU,2017,75.0609756097561,74.07235772357724,-0.9886178861788579,,,,2,0,no_amr_surveillance_in_post_window,2015 to 2016,2020 to 2022,descriptive_before_after_not_causal_did,v1,2026-07-08
