canonical_organism,canonical_drug,drug_class,iso3_country,parsed_year,specimen_source,n_isolates_in_stratum,n_tested,n_susceptible,n_intermediate,n_resistant,coverage_t_over_n,tier1_bound_lower,tier1_bound_upper,tier1_width,tier2_bound_upper_assumes_monotonicity,low_n_flag,version,date_added
Candida glabrata,Fluconazole,Triazole,USA,2020,Ureteral catheter,2,2,0,2,0,1.0,0.0,0.0,0.0,0.0,True,v1,2026-07-08
Candida glabrata,Fluconazole,Triazole,USA,2020,Wound/Drainage/Ulcer,3,3,0,3,0,1.0,0.0,0.0,0.0,0.0,True,v1,2026-07-08
Candida glabrata,Fluconazole,Triazole,USA,2021,Abscess (pus),2,2,0,2,0,1.0,0.0,0.0,0.0,0.0,True,v1,2026-07-08
Candida glabrata,Fluconazole,Triazole,USA,2021,Aspirate,3,3,0,3,0,1.0,0.0,0.0,0.0,0.0,True,v1,2026-07-08
Candida glabrata,Fluconazole,Triazole,USA,2021,Blood culture,95,95,0,86,9,1.0,0.0,0.0,0.0,0.0,False,v1,2026-07-08
Candida glabrata,Fluconazole,Triazole,USA,2021,Bone/Joint culture,1,1,0,1,0,1.0,0.0,0.0,0.0,0.0,True,v1,2026-07-08
Candida glabrata,Fluconazole,Triazole,USA,2021,GI tract/bowel,2,2,0,2,0,1.0,0.0,0.0,0.0,0.0,True,v1,2026-07-08
Candida glabrata,Fluconazole,Triazole,USA,2021,Genital tract,1,1,0,1,0,1.0,0.0,0.0,0.0,0.0,True,v1,2026-07-08
Candida glabrata,Fluconazole,Triazole,USA,2021,Intravenous/IV Line,1,1,0,1,0,1.0,0.0,0.0,0.0,0.0,True,v1,2026-07-08
Candida glabrata,Fluconazole,Triazole,USA,2021,Lower Respiratory Tract,1,1,0,1,0,1.0,0.0,0.0,0.0,0.0,True,v1,2026-07-08
Candida glabrata,Fluconazole,Triazole,USA,2021,Other,2,2,0,2,0,1.0,0.0,0.0,0.0,0.0,True,v1,2026-07-08
Candida glabrata,Fluconazole,Triazole,USA,2021,Peritoneal fluid,8,8,0,8,0,1.0,0.0,0.0,0.0,0.0,True,v1,2026-07-08
Candida glabrata,Fluconazole,Triazole,USA,2021,Plueral fluid,1,1,0,0,1,1.0,0.0,0.0,0.0,0.0,True,v1,2026-07-08
Candida glabrata,Fluconazole,Triazole,USA,2021,Tissue,5,5,0,4,1,1.0,0.0,0.0,0.0,0.0,True,v1,2026-07-08
Candida glabrata,Fluconazole,Triazole,USA,2021,Unknown,8,8,0,8,0,1.0,0.0,0.0,0.0,0.0,True,v1,2026-07-08
Candida glabrata,Fluconazole,Triazole,USA,2021,Urine/Urinary tract,2,2,0,1,1,1.0,0.0,0.0,0.0,0.0,True,v1,2026-07-08
Candida glabrata,Fluconazole,Triazole,USA,2021,Wound/Drainage/Ulcer,4,4,0,4,0,1.0,0.0,0.0,0.0,0.0,True,v1,2026-07-08
Candida glabrata,Fluconazole,Triazole,USA,2022,Abscess (pus),1,1,0,1,0,1.0,0.0,0.0,0.0,0.0,True,v1,2026-07-08
Candida glabrata,Fluconazole,Triazole,USA,2022,Aspirate,1,1,0,1,0,1.0,0.0,0.0,0.0,0.0,True,v1,2026-07-08
Candida glabrata,Fluconazole,Triazole,USA,2022,Blood culture,76,76,0,75,1,1.0,0.0,0.0,0.0,0.0,False,v1,2026-07-08
Candida glabrata,Fluconazole,Triazole,USA,2022,Bone/Joint culture,2,2,0,2,0,1.0,0.0,0.0,0.0,0.0,True,v1,2026-07-08
Candida glabrata,Fluconazole,Triazole,USA,2022,Cerebrospinal fluid,1,1,0,1,0,1.0,0.0,0.0,0.0,0.0,True,v1,2026-07-08
Candida glabrata,Fluconazole,Triazole,USA,2022,"Ears,nose,throat",1,1,0,1,0,1.0,0.0,0.0,0.0,0.0,True,v1,2026-07-08
Candida glabrata,Fluconazole,Triazole,USA,2022,Lower Respiratory Tract,1,1,0,1,0,1.0,0.0,0.0,0.0,0.0,True,v1,2026-07-08
Candida glabrata,Fluconazole,Triazole,USA,2022,Plueral fluid,3,3,0,2,1,1.0,0.0,0.0,0.0,0.0,True,v1,2026-07-08
Candida glabrata,Fluconazole,Triazole,USA,2022,Tissue,1,1,0,1,0,1.0,0.0,0.0,0.0,0.0,True,v1,2026-07-08
Candida glabrata,Fluconazole,Triazole,USA,2022,Unknown,26,26,0,24,2,1.0,0.0,0.0,0.0,0.0,True,v1,2026-07-08
Candida glabrata,Fluconazole,Triazole,USA,2022,Upper Respiratory Tract,1,1,0,1,0,1.0,0.0,0.0,0.0,0.0,True,v1,2026-07-08
Candida glabrata,Fluconazole,Triazole,USA,2022,Ureteral catheter,2,2,0,2,0,1.0,0.0,0.0,0.0,0.0,True,v1,2026-07-08
Candida glabrata,Fluconazole,Triazole,USA,2022,Wound/Drainage/Ulcer,1,1,0,1,0,1.0,0.0,0.0,0.0,0.0,True,v1,2026-07-08
Candida glabrata,Fluconazole,Triazole,USA,2023,Aspirate,1,1,0,1,0,1.0,0.0,0.0,0.0,0.0,True,v1,2026-07-08
Candida glabrata,Fluconazole,Triazole,USA,2023,Blood culture,81,81,0,75,6,1.0,0.0,0.0,0.0,0.0,False,v1,2026-07-08
Candida glabrata,Fluconazole,Triazole,USA,2023,Bone/Joint culture,1,1,0,1,0,1.0,0.0,0.0,0.0,0.0,True,v1,2026-07-08
Candida glabrata,Fluconazole,Triazole,USA,2023,Bronchoalveolar lavage/wash,3,3,0,3,0,1.0,0.0,0.0,0.0,0.0,True,v1,2026-07-08
Candida glabrata,Fluconazole,Triazole,USA,2023,Other,5,5,0,5,0,1.0,0.0,0.0,0.0,0.0,True,v1,2026-07-08
Candida glabrata,Fluconazole,Triazole,USA,2023,Sputum,2,2,0,2,0,1.0,0.0,0.0,0.0,0.0,True,v1,2026-07-08
Candida glabrata,Fluconazole,Triazole,USA,2023,Tissue,1,1,0,1,0,1.0,0.0,0.0,0.0,0.0,True,v1,2026-07-08
Candida glabrata,Fluconazole,Triazole,USA,2023,Unknown,7,7,0,6,1,1.0,0.0,0.0,0.0,0.0,True,v1,2026-07-08
Candida glabrata,Fluconazole,Triazole,USA,2023,Wound/Drainage/Ulcer,5,5,0,4,1,1.0,0.0,0.0,0.0,0.0,True,v1,2026-07-08
Candida glabrata,Fluconazole,Triazole,USA,2024,Aspirate,1,1,0,1,0,1.0,0.0,0.0,0.0,0.0,True,v1,2026-07-08
Candida glabrata,Fluconazole,Triazole,USA,2024,Blood culture,73,73,0,68,5,1.0,0.0,0.0,0.0,0.0,False,v1,2026-07-08
Candida glabrata,Fluconazole,Triazole,USA,2024,Bronchoalveolar lavage/wash,1,1,0,1,0,1.0,0.0,0.0,0.0,0.0,True,v1,2026-07-08
Candida glabrata,Fluconazole,Triazole,USA,2024,GI tract/bowel,1,1,0,1,0,1.0,0.0,0.0,0.0,0.0,True,v1,2026-07-08
Candida glabrata,Fluconazole,Triazole,USA,2024,Other,2,2,0,2,0,1.0,0.0,0.0,0.0,0.0,True,v1,2026-07-08
Candida glabrata,Fluconazole,Triazole,USA,2024,Plueral fluid,2,2,0,2,0,1.0,0.0,0.0,0.0,0.0,True,v1,2026-07-08
Candida glabrata,Fluconazole,Triazole,USA,2024,Tissue,1,1,0,1,0,1.0,0.0,0.0,0.0,0.0,True,v1,2026-07-08
Candida glabrata,Fluconazole,Triazole,USA,2024,Unknown,3,3,0,3,0,1.0,0.0,0.0,0.0,0.0,True,v1,2026-07-08
Candida glabrata,Fluconazole,Triazole,USA,2024,Wound/Drainage/Ulcer,4,4,0,4,0,1.0,0.0,0.0,0.0,0.0,True,v1,2026-07-08
Candida glabrata,Fluconazole,Triazole,ZAF,2011,Blood culture,1,1,0,0,1,1.0,0.0,0.0,0.0,0.0,True,v1,2026-07-08
Candida glabrata,Micafungin,Echinocandin,ARG,2010,Blood culture,1,1,1,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Candida glabrata,Micafungin,Echinocandin,ARG,2011,Blood culture,2,2,2,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Candida glabrata,Micafungin,Echinocandin,ARG,2012,Blood culture,3,3,3,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Candida glabrata,Micafungin,Echinocandin,ARG,2015,Blood culture,1,1,1,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Candida glabrata,Micafungin,Echinocandin,ARG,2016,Blood culture,1,1,1,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Candida glabrata,Micafungin,Echinocandin,ARG,2017,Blood culture,1,1,1,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Candida glabrata,Micafungin,Echinocandin,ARG,2018,Abscess (pus),1,1,1,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Candida glabrata,Micafungin,Echinocandin,ARG,2019,Blood culture,1,1,1,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
