canonical_organism,canonical_drug,drug_class,dosing_variant,iso3_country,parsed_year,body_site,n_isolates_in_stratum,n_tested,n_resistant,n_intermediate,n_susceptible,coverage_t_over_n,tier1_bound_lower,tier1_bound_upper,tier1_width,tier2_bound_upper_assumes_monotonicity,low_n_flag,version,date_added
Haemophilus influenzae,amoxicillin,Aminopenicillin,,HRV,2015,Respiratory: Endotracheal aspirate,8,8,2,0,6,1.0,0.25,0.25,0.0,0.25,True,v1,2026-07-08
Haemophilus influenzae,amoxicillin,Aminopenicillin,,HRV,2015,Respiratory: Other,27,27,4,0,23,1.0,0.14814814814814814,0.14814814814814814,0.0,0.14814814814814814,True,v1,2026-07-08
Haemophilus influenzae,amoxicillin,Aminopenicillin,,HRV,2015,Respiratory: Sputum,24,24,3,0,21,1.0,0.125,0.125,0.0,0.125,True,v1,2026-07-08
Haemophilus influenzae,amoxicillin,Aminopenicillin,,IND,2018,Respiratory: Sputum,4,4,1,0,3,1.0,0.25,0.25,0.0,0.25,True,v1,2026-07-08
Haemophilus influenzae,amoxicillin,Aminopenicillin,,IND,2020,Respiratory: Bronchoalveolar lavage,1,1,0,0,1,1.0,0.0,0.0,0.0,0.0,True,v1,2026-07-08
Haemophilus influenzae,amoxicillin,Aminopenicillin,,IND,2020,Respiratory: Endotracheal aspirate,1,1,0,0,1,1.0,0.0,0.0,0.0,0.0,True,v1,2026-07-08
Haemophilus influenzae,amoxicillin,Aminopenicillin,,IND,2020,Respiratory: Other,1,1,1,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Haemophilus influenzae,amoxicillin,Aminopenicillin,,IND,2020,Respiratory: Sputum,30,30,7,0,23,1.0,0.23333333333333334,0.23333333333333334,0.0,0.23333333333333334,False,v1,2026-07-08
Haemophilus influenzae,amoxicillin,Aminopenicillin,,IND,2021,CVS: Blood,1,1,0,0,1,1.0,0.0,0.0,0.0,0.0,True,v1,2026-07-08
Haemophilus influenzae,amoxicillin,Aminopenicillin,,IND,2021,Respiratory: Bronchoalveolar lavage,7,7,0,0,7,1.0,0.0,0.0,0.0,0.0,True,v1,2026-07-08
Haemophilus influenzae,amoxicillin,Aminopenicillin,,IND,2021,Respiratory: Endotracheal aspirate,1,1,0,0,1,1.0,0.0,0.0,0.0,0.0,True,v1,2026-07-08
Haemophilus influenzae,amoxicillin,Aminopenicillin,,IND,2021,Respiratory: Sputum,124,124,15,0,109,1.0,0.12096774193548387,0.12096774193548387,0.0,0.12096774193548387,False,v1,2026-07-08
Haemophilus influenzae,amoxicillin,Aminopenicillin,,IND,2021,Unknown,1,1,0,0,1,1.0,0.0,0.0,0.0,0.0,True,v1,2026-07-08
Haemophilus influenzae,amoxicillin,Aminopenicillin,,ITA,2018,Respiratory: Other,3,3,0,0,3,1.0,0.0,0.0,0.0,0.0,True,v1,2026-07-08
Haemophilus influenzae,amoxicillin,Aminopenicillin,,ITA,2019,CVS: Blood,3,3,0,0,3,1.0,0.0,0.0,0.0,0.0,True,v1,2026-07-08
Haemophilus influenzae,amoxicillin,Aminopenicillin,,ITA,2019,Respiratory: Bronchoalveolar lavage,23,23,5,0,18,1.0,0.21739130434782608,0.21739130434782608,0.0,0.21739130434782608,True,v1,2026-07-08
Haemophilus influenzae,amoxicillin,Aminopenicillin,,ITA,2019,Respiratory: Endotracheal aspirate,6,6,2,0,4,1.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,True,v1,2026-07-08
Haemophilus influenzae,amoxicillin,Aminopenicillin,,ITA,2019,Respiratory: Other,13,13,3,0,10,1.0,0.23076923076923078,0.23076923076923078,0.0,0.23076923076923078,True,v1,2026-07-08
Haemophilus influenzae,amoxicillin,Aminopenicillin,,ITA,2019,Respiratory: Sputum,12,12,0,0,12,1.0,0.0,0.0,0.0,0.0,True,v1,2026-07-08
Haemophilus influenzae,amoxicillin,Aminopenicillin,,ITA,2019,Unknown,2,2,0,0,2,1.0,0.0,0.0,0.0,0.0,True,v1,2026-07-08
Haemophilus influenzae,amoxicillin,Aminopenicillin,,ITA,2020,CVS: Blood,2,2,0,0,2,1.0,0.0,0.0,0.0,0.0,True,v1,2026-07-08
Haemophilus influenzae,amoxicillin,Aminopenicillin,,ITA,2020,HEENT: Middle ear,1,1,0,0,1,1.0,0.0,0.0,0.0,0.0,True,v1,2026-07-08
Haemophilus influenzae,amoxicillin,Aminopenicillin,,ITA,2020,Respiratory: Bronchoalveolar lavage,46,46,13,0,33,1.0,0.2826086956521739,0.2826086956521739,0.0,0.2826086956521739,False,v1,2026-07-08
Haemophilus influenzae,amoxicillin,Aminopenicillin,,ITA,2020,Respiratory: Endotracheal aspirate,9,9,2,0,7,1.0,0.2222222222222222,0.2222222222222222,0.0,0.2222222222222222,True,v1,2026-07-08
Haemophilus influenzae,amoxicillin,Aminopenicillin,,ITA,2020,Respiratory: Other,17,17,3,0,14,1.0,0.17647058823529413,0.17647058823529413,0.0,0.17647058823529413,True,v1,2026-07-08
Haemophilus influenzae,amoxicillin,Aminopenicillin,,ITA,2020,Respiratory: Sinuses,4,4,1,0,3,1.0,0.25,0.25,0.0,0.25,True,v1,2026-07-08
Haemophilus influenzae,amoxicillin,Aminopenicillin,,ITA,2020,Respiratory: Sputum,23,23,5,0,18,1.0,0.21739130434782608,0.21739130434782608,0.0,0.21739130434782608,True,v1,2026-07-08
Haemophilus influenzae,amoxicillin,Aminopenicillin,,ITA,2020,Unknown,16,16,3,0,13,1.0,0.1875,0.1875,0.0,0.1875,True,v1,2026-07-08
Haemophilus influenzae,amoxicillin,Aminopenicillin,,ITA,2021,CVS: Blood,7,7,1,0,6,1.0,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,True,v1,2026-07-08
Haemophilus influenzae,amoxicillin,Aminopenicillin,,ITA,2021,Respiratory: Bronchoalveolar lavage,26,26,3,0,23,1.0,0.11538461538461539,0.11538461538461539,0.0,0.11538461538461539,True,v1,2026-07-08
Haemophilus influenzae,amoxicillin,Aminopenicillin,,ITA,2021,Respiratory: Endotracheal aspirate,13,13,1,0,12,1.0,0.07692307692307693,0.07692307692307693,0.0,0.07692307692307693,True,v1,2026-07-08
Haemophilus influenzae,amoxicillin,Aminopenicillin,,ITA,2021,Respiratory: Other,10,10,2,0,8,1.0,0.2,0.2,0.0,0.2,True,v1,2026-07-08
Haemophilus influenzae,amoxicillin,Aminopenicillin,,ITA,2021,Respiratory: Sputum,7,7,1,0,6,1.0,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,True,v1,2026-07-08
Haemophilus influenzae,amoxicillin,Aminopenicillin,,ITA,2021,Unknown,6,6,0,0,6,1.0,0.0,0.0,0.0,0.0,True,v1,2026-07-08
